Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -raw -d BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ (7419491.0 total)	BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ (7649856.0 total)	FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ (8316299.0 total)	FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/ (8521956.0 total)
NM_001347389	chr5	110176857	110226469	+	8069.0	1	Golga3|5330413L04|5430416E01Rik|AI449376|AW490576|G1-499-14|Mea-2|Mea2|repro27|-|5 F|5 53.36 cM|protein-coding	499.000	516.500	404.000	537.000
NM_027935	chr4	134897849	134914916	-	1087.0	1	Tmem50a|3200001F09Rik|CAM|Smp1|-|4 D3|4 67.14 cM|protein-coding	364.000	332.500	375.500	351.000
NM_008256	chr3	98280431	98310738	+	3282.0	1	Hmgcs2|1300002P16|mHS|-|3 F2.2|3 42.74 cM|protein-coding	0.000	0.000	8.000	2.000
NM_145964	chr3	127807007	127837523	-	2667.0	1	Ap1ar|AA407621|C78909|Gadkin|-|3|3 G2|protein-coding	625.000	600.000	497.000	662.000
NM_001315500	chr1	171155518	171161130	+	1890.0	1	Mpz|Mpp|P-zero|P0|-|1 H3|1 79.05 cM|protein-coding	4.000	4.000	18.000	6.000
NM_053126	chr18	37264998	37267454	+	2455.0	1	Pcdhb1|PcdhbA|-|18|18 B3|protein-coding	0.000	0.000	0.000	0.000
NR_045095	chr17	51882727	51965257	+	3290.0	1	Gm20098|-|-|17 C|17 27.07 cM|ncRNA	0.000	0.000	0.000	0.000
NR_145133	chr5	74093060	74094337	+	1277.0	1	Dancr|2700023E23Rik|-|5|5 C3.3|ncRNA	69.500	54.500	15.000	11.000
NM_001033542	chr11	61301631	61342860	-	2358.0	1	Slc47a2|4933429E10Rik|-|11|11 B2|protein-coding	0.000	0.000	0.000	0.000
NM_177092	chr10	120781101	120898971	-	3699.0	1	Msrb3|D430026P16Rik|I-8-23|MsrB2|-|10|10 D2|protein-coding	41.000	58.000	182.000	186.000
NM_001134226	chrX	8454343	8461726	-	744.0	1	Ssxb2|-|-|X A1.1|X|protein-coding	0.000	0.000	0.000	0.000
NM_019428	chr19	36083716	36104773	+	1143.0	1	Rpp30|Rnasep2|TSG15|-|19|19 C2|protein-coding	76.000	136.000	103.000	91.000
NM_001035231	chr13	67538641	67553152	-	4609.0	1	Zfp748|KRAB-O|Rslcan20/21|Zfp208|mszf54|-|13|13 B3|protein-coding	175.500	226.000	192.000	176.000
NR_046024	chr7	73097752	73102068	-	2089.0	1	Gm6567|-|-|7 D1|7|ncRNA	0.000	0.000	0.000	0.000
NM_013757	chrX	133936385	133981812	-	3734.0	1	Sytl4|Gph|Slp4|-|X|X E3|protein-coding	43.000	58.000	35.000	85.500
NM_010817	chr8	107580380	107588482	-	1591.0	1	Psmd7|AW107203|Mov-34|Mov34|-|8 D3|8 54.38 cM|protein-coding	255.000	473.000	551.000	673.500
NM_020033	chr19	42036038	42045110	+	1089.0	1	Ankrd2|Arpp|mArpp|-|19|19 C3|protein-coding	0.000	0.000	0.000	0.000
NM_001324519	chr12	30174482	30373376	-	2389.0	1	Sntg2|2210008K22Rik|9530013L23|BB121248|G2syn|Syn5|-|12|12 A2|protein-coding	5.000	0.000	0.000	1.000
NM_001039147	chr9	90091669	90114820	-	1968.0	1	Morf4l1|MORFRG15|MRG15|TEG-189|Tex189|mKIAA4002|-|9|9 E3.1|protein-coding	931.000	1178.500	1521.000	1558.500
NM_007489	chr7	113207465	113314126	+	2886.0	1	Arntl|Arnt3|BMAL1b|Bmal1|MOP3|bHLHe5|bmal1b'|-|7 F1|7 59.17 cM|protein-coding	125.000	103.000	124.500	95.500
NM_001164237	chr10	128411616	128441441	+	4368.0	1	Rnf41|2210404G21Rik|4930511A05Rik|4933415P08Rik|D10Ertd722e|FLRF|Nrdp1|-|10 D3|10 76.55 cM|protein-coding	391.000	377.000	235.500	307.000
NM_053172	chr5	104325329	104338611	+	1677.0	1	Mepe|Of45|-|5|5 E5|protein-coding	0.000	0.000	0.000	0.000
NM_008078	chr2	22622327	22693877	+	5607.0	1	Gad2|6330404F12Rik|GAD(65)|GAD65|Gad-2|-|2 A3|2 15.15 cM|protein-coding	0.000	0.000	0.000	0.000
NM_025896	chr13	27259489	27276660	+	1275.0	1	Prl3a1|1600016E11Rik|Ghd9|PLP-H|PLP-I|Plpi|Prlpi|-|13|13 A3.1|protein-coding	0.000	0.000	0.000	0.000
NR_028282	chr15	80078503	80078579	-	76.0	1	Snord83b|MBII-10|-|15|15 E1|snoRNA	0.000	0.000	0.000	0.000
NM_010766	chr1	120474538	120505024	-	1906.0	1	Marco|AI323439|Ly112|Scara2|-|1|1 E2.3|protein-coding	0.000	0.000	4.000	2.000
NM_009915	chr9	124102183	124109140	+	3584.0	1	Ccr2|Cc-ckr-2|Ccr2a|Ccr2b|Ckr2|Ckr2a|Ckr2b|Cmkbr2|mJe-r|-|9 F4|9 75.05 cM|protein-coding	26.000	0.000	2.000	0.000
NM_001177397	chr10	90575727	90973300	+	7540.0	1	Anks1b|AIDA-1b|C030032C09Rik|E530015N03Rik|ENSMUSG00000078431|Gm10937|Gm1555|-|10|10 C2|protein-coding	0.000	0.000	0.000	0.000
NM_001308303	chr6	71493877	71510880	+	3457.0	1	Rnf103|AW146237|AW212918|Zfp103|kf-1|-|6 C1|6 32.16 cM|protein-coding	193.000	170.500	128.500	130.000
NR_040494	chr16	93396815	93458872	-	786.0	1	1700029J03Rik|-|-|16|16 C4|ncRNA	0.000	0.000	0.000	0.000
NM_013834	chr8	23411502	23449632	+	4367.0	1	Sfrp1|2210415K03Rik|AW011917|AW107218|AW742929|sFRP-1|-|8 A2|8 11.48 cM|protein-coding	184.000	154.000	12.000	42.000
NM_001159288	chr11	3649494	3690370	+	5056.0	1	Morc2a|8430403M08Rik|Zcwcc1|-|11|11 A1|protein-coding	617.500	536.000	577.500	831.000
NR_045505	chr5	36873595	36876879	-	1488.0	1	Ppp2r2cos|4933401P06Rik|-|5|5 B3|ncRNA	0.000	0.000	0.000	0.000
NM_027036	chr4	128260212	128260895	-	681.0	1	Hmgb4|1700001F22Rik|AI326135|-|4|4 D2.2|protein-coding	0.000	0.000	0.000	0.000
NM_025744	chr2	70508819	70540884	+	1734.0	1	Erich2|4933404M02Rik|-|2|2 C2|protein-coding	0.000	6.000	0.000	2.000
NM_001347558	chr7	142119615	142120900	-	1283.0	1	Gm45618|-|-|7 F5|7|protein-coding	0.000	0.000	0.000	0.000
NM_001033813	chr9	22188166	22202123	+	2954.0	1	Zfp872|9530015I07Rik|-|9|9 A3|protein-coding	0.000	0.000	0.000	0.000
NM_028011	chr11	90645690	90687601	-	2076.0	1	Tom1l1|2310045L10Rik|C80573|Srcasm|-|11 D|11 55.47 cM|protein-coding	125.500	85.500	175.500	335.500
NM_146651	chr1	173270147	173271137	+	988.0	1	Olfr418|MOR267-12P|MOR267-8|Olfr1403|Olfr418-ps1|-|1|1 H3|protein-coding	0.000	0.000	0.000	0.000
NM_001081406	chr12	69168814	69179012	+	1497.0	1	Lrr1|2410005L11Rik|AU021780|LRR-1|Ppil5|-|12|12 C2|protein-coding	0.000	18.000	44.000	41.000
NM_001163305	chr3	5560188	5576248	-	2142.0	1	Pex2|D3Ertd138e|PAF-1|PMP35|Pxmp3|-|3 A1|3 1.96 cM|protein-coding	27.000	71.000	31.000	77.000
NM_001310658	chr1	70725715	70885381	+	4504.0	1	Vwc2l|A830006F12Rik|Brl|-|1|1 C3|protein-coding	0.000	0.000	0.000	0.000
NM_001130178	chr1	135836334	135852268	+	1194.0	1	Tnnt2|Tnt|cTnT|-|1 E4|1 59.32 cM|protein-coding	0.000	0.000	0.000	0.000
NM_010190	chr2	28076479	28084878	-	1051.0	1	Fcnb|Fcn2|-|2|2 A3|protein-coding	0.000	0.000	2.000	11.000
NR_130987	chr12	111159850	111184491	-	814.0	1	4930595D18Rik|-|-|12|12 F1|ncRNA	0.000	0.000	0.000	0.000
NR_045709	chr16	33379854	33380736	-	745.0	1	1700007L15Rik|linc-Iqcg|linc1609|-|16|16 B3|ncRNA	6.000	2.000	27.000	6.000
NM_026095	chr10	75518042	75535440	+	598.0	1	Snrpd3|1700043E15Rik|2310009E13Rik|AW046420|SMD3|-|10|10 C1|protein-coding	63.000	94.000	119.500	102.500
NM_027910	chr17	46674551	46680930	-	2111.0	1	Klhdc3|1300011D16Rik|Peas|-|17 22.9 cM|17 C|protein-coding	150.000	228.000	393.000	291.000
NM_139236	chr4	41114427	41124339	-	4455.0	1	Nol6|AA410091|Nrap|-|4|4 A5|protein-coding	720.500	919.000	790.500	838.500
NM_001282013	chr17	35972539	35979825	-	1929.0	1	Prr3|4930540G07Rik|Cat56|-|17|17 B1|protein-coding	116.500	78.000	139.500	176.000
NM_026213	chr15	5185560	5218332	+	1821.0	1	Ttc33|2410099M07Rik|2900001O04Rik|AI507072|AW538342|Osrf|-|15|15 A1|protein-coding	86.000	78.000	111.500	68.500
NM_001316694	chr1	59989068	60043122	-	3409.0	1	Ica1l|1700030B17Rik|Als2cr15|-|1|1 C2|protein-coding	92.000	68.000	82.000	88.000
NM_001320331	chr7	44225360	44229622	+	941.0	1	Klk1|0610007D04Rik|KAL-B|Kal|Klk1b6|Klk6|mGk-6|-|7 B3|7 28.74 cM|protein-coding	0.000	0.000	0.000	0.000
NM_153594	chr2	181837854	181857460	+	3559.0	1	Pcmtd2|5330414D10Rik|AI314201|-|2|2 H4|protein-coding	286.000	363.500	205.500	220.500
NM_001167165	chr7	21300526	21301467	-	942.0	3	Gm4175|Vmn1r133|-|7 A3|7|protein-coding	0.000	0.000	0.000	0.000
NR_001461	chr7	143213111	143296547	-	83436.0	1	Kcnq1ot1|Kvlqt1-as|Lit1|Tssc8|-|7 F5|7 88.15 cM|ncRNA	8402.000	7477.000	7781.000	7256.000
NM_001205037	chr11	94844831	94849593	-	1350.0	1	Gm11544|OTTMUSG00000002042|-|11|11 D|protein-coding	0.000	0.000	0.000	0.000
NM_001013779	chr1	173420604	173466036	+	2526.0	1	Aim2|Gm1313|Ifi210|-|1|1 H3|protein-coding	376.000	285.500	182.000	257.000
NM_001271601	chr15	89355719	89372850	+	3321.0	1	Ncaph2|-|-|15 E3|15 44.84 cM|protein-coding	278.000	154.000	357.500	370.500
NM_001010825	chr5	113735782	113740607	+	3156.0	1	Ficd|D5Ertd40e|Hype|-|5 F|5 55.55 cM|protein-coding	50.000	24.000	32.000	16.000
NM_026380	chr1	153653037	153697665	+	5795.0	1	Rgs8|6530413N01Rik|-|1 G3|1 65.41 cM|protein-coding	0.000	6.000	0.000	0.000
NR_027805	chr19	10740947	10786043	+	2111.0	1	A430093F15Rik|Gm674|-|19|19 A|ncRNA	0.000	0.000	0.000	0.000
NM_001281812	chr5	110100559	110105952	+	3309.0	1	Plcxd1|A330045H12Rik|Gm576|-|5|5 F|protein-coding	69.500	116.000	57.000	118.000
NM_054059	chr7	17150400	17163231	+	2113.0	1	Ceacam3|EG384557|Psg24|cea12|-|7|7 A2|protein-coding	0.000	0.000	0.000	0.000
NR_030670	chr16	20545112	20548556	-	3444.0	1	Gm15760|ENSMUSG00000075326|OTTMUSG00000026040|-|16|16 A3|pseudo	1.000	1.000	0.000	2.000
NM_011985	chr4	155650655	155653384	-	1424.0	1	Mmp23|CA-MMP|-|4|4 E2|protein-coding	8.000	37.000	8.500	12.000
NR_037313	chr12	109544541	109544620	+	79.0	2	Mir1906-2|mmu-mir-1906-2|-|X C1|X 39.95 cM|ncRNA	5.500	3.500	1.000	2.500
NM_008516	chr6	107529726	107570228	+	3752.0	1	Lrrn1|2810047E21Rik|NLRR-1|-|6|6 E1|protein-coding	17.000	15.000	16.000	1.000
NM_011441	chr1	4490928	4497354	-	4064.0	1	Sox17|-|-|1 A1|1 1.65 cM|protein-coding	0.000	0.000	2.500	15.000
NM_025557	chr1	171173264	171196268	-	1570.0	1	Pcp4l1|1500036F01Rik|-|1|1 H3|protein-coding	187.000	113.000	132.000	91.000
NM_178440	chr11	6506548	6520958	-	3283.0	1	Myo1g|E430002D17Rik|-|11|11 A1|protein-coding	443.000	376.500	820.000	777.500
NM_027355	chr16	32277461	32301439	+	4457.0	1	Rnf168|3110001H15Rik|-|16|16 B3|protein-coding	279.000	415.000	427.000	504.000
NM_011857	chr8	48225665	48674690	-	10947.0	1	Tenm3|2610100B16Rik|Odz1|Odz3|Ten-m3|mKIAA1455|-|8|8 B1.1-B1.2|protein-coding	0.000	0.000	3.000	11.000
NR_045788	chr15	39797045	39812377	+	2591.0	1	Gm16291|OTTMUSG00000033244|-|15 B3.1|15 15.55 cM|ncRNA	0.000	0.000	0.000	0.000
NM_146380	chr7	103211862	103212845	+	982.0	1	Olfr593|MOR24-2|-|7|7 E3|protein-coding	0.000	0.000	0.000	0.000
NM_175179	chrX	95420314	95444840	-	8464.0	1	Amer1|2810002O09Rik|AW492303|Fam123b|Wtx|-|X|X C3|protein-coding	289.000	533.000	269.000	379.000
NM_173755	chr11	116537753	116581447	-	5172.0	1	Ube2o|9630022H21|B230113M03Rik|E2-230K|mKIAA1734|-|11|11 E2|protein-coding	104.000	219.000	153.000	156.000
NM_001166157	chr15	101459061	101463765	-	1846.0	1	Krt81|AA589625|Krt2-19|-|15 F2|15 56.9 cM|protein-coding	0.000	0.000	0.000	0.000
NM_198297	chr16	48734690	48771956	-	676.0	1	Trat1|C030046M14Rik|Tcrim|Trim|-|16|16 B5|protein-coding	1.000	0.000	0.000	0.000
NM_001081432	chr10	107517360	107720027	-	7011.0	1	Ptprq|-|-|10 D1|10 55.97 cM|protein-coding	0.000	0.000	0.000	0.000
NM_001081029	chr5	9100737	9118983	+	981.0	1	Tmem243|4930420K17Rik|E030031F02Rik|-|5|5 A1|protein-coding	20.500	36.000	9.000	3.000
NM_153110	chr8	65012976	65018688	-	2224.0	1	Trim61|2czf61|AU018704|C85201|E330039K03Rik|Rnf35|-|8|8 B3.1|protein-coding	0.000	0.000	0.000	0.000
NM_146667	chr14	50453054	50453989	+	934.0	1	Olfr740|MOR106-4|-|14|14 C1|protein-coding	0.000	0.000	0.000	0.000
NM_016740	chr3	93520496	93526288	+	499.0	1	S100a11|EMAPI|Emap1|S100a14|S100c|cal|-|3|3 F2.1|protein-coding	843.000	1118.000	591.500	791.000
NM_146974	chr2	90002408	90003322	+	913.0	1	Olfr1262|MOR234-1|or-leaf2|-|2|2 E1|protein-coding	0.000	0.000	0.000	0.000
NR_132634	chrX	18414881	18461397	-	3496.0	1	4930578C19Rik|-|-|X|X A1.3|protein-coding	0.000	8.000	0.000	0.000
NM_001039220	chr8	36993575	36995533	+	1956.0	1	AI429214|-|-|8|8 A4|protein-coding	15.000	13.000	10.000	14.000
NM_001007222	chr3	93651542	93652686	-	1142.0	1	Tdpoz2|-|-|3|3 F2.1|protein-coding	0.000	0.000	0.000	0.000
NM_001168403	chr13	112288451	112384002	+	2873.0	1	Ankrd55|C030011J08Rik|-|13|13 D2.2|protein-coding	0.000	0.000	0.000	0.000
NM_027933	chr17	56673225	56711769	+	2493.0	1	Ranbp3|2610024N24Rik|AA408221|-|17|17 D|protein-coding	110.000	153.000	200.000	200.000
NM_010983	chr7	107000875	107002605	-	1246.0	1	Olfr2|I7|MOR103-15|Olfr41|-|7|7 E3|protein-coding	0.000	0.000	0.000	0.000
NM_028451	chr11	58009064	58062032	+	6594.0	1	Larp1|1810024J12Rik|3110040D16Rik|Larp|mKIAA0731|-|11|11 B1.3|protein-coding	1804.500	2281.000	2486.000	2959.000
NM_026737	chr15	81864516	81871892	-	1642.0	1	Phf5a|1110007B08Rik|-|15|15 E1|protein-coding	91.500	107.000	342.500	391.000
NM_010685	chrX	38419503	38456460	-	3603.0	1	Lamp2|CD107b|LGP-B|Lamp II|Lamp-2|Lamp-2a|Lamp-2b|Lamp-2c|Mac3|-|X A3.3|X 22.67 cM|protein-coding	1198.500	852.500	604.500	615.000
NM_001033630	chr17	35892677	35897378	-	1232.0	1	2310061I04Rik|-|-|17|17 B1|protein-coding	123.500	134.500	100.500	93.000
NM_023197	chr7	118842218	118855998	-	5379.0	1	Knop1|2310008H09Rik|Tsg118|-|7|7 F2|protein-coding	450.500	524.500	994.000	1019.000
NM_146734	chr7	108031295	108033967	-	1121.0	1	Olfr478|MOR204-13|-|7|7 E3|protein-coding	0.000	0.000	0.000	0.000
NM_001081214	chr19	46056539	46072909	+	5228.0	1	Pprc1|A930018M19|BC013720|PRC|mKIAA0595|-|19|19 C3|protein-coding	521.500	736.500	1037.500	1012.000
NM_007511	chr8	21994348	22060074	-	4688.0	1	Atp7b|Atp7a|WND|tx|-|8 A2|8 10.78 cM|protein-coding	2.000	9.000	112.500	47.000
NR_028580	chr10	22402813	22407470	+	4546.0	1	Gm10825|ENSMUSG00000075295|-|10 A3|10|ncRNA	0.000	0.000	2.000	1.000
NM_001198833	chr17	35681567	35700590	-	3729.0	1	Ddr1|6030432F18|AI323681|CD167a|Cak|Nep|PTK3A|-|17 B1|17 18.7 cM|protein-coding	0.000	1.000	0.000	0.000
NM_010128	chr6	135362931	135383173	+	2714.0	1	Emp1|I-8-09|TMP|-|6 G1|6 66.25 cM|protein-coding	0.000	2.000	4.000	2.000
NM_020604	chr1	16994940	17097889	-	4800.0	1	Jph1|ENSMUSG00000054314|JP-1|Jp1|-|1|1 A3|protein-coding	16.000	1.000	17.000	12.000
NM_018874	chr19	58728887	58744169	+	1604.0	1	Pnliprp1|Plrp1|-|19 D2|19 54.49 cM|protein-coding	0.000	0.000	0.000	0.000
NM_008179	chrX	94636069	94638561	+	2490.0	1	Gspt2|-|-|X|X C3|protein-coding	131.000	95.000	49.000	54.000
NM_172921	chr9	48362041	48400025	+	3162.0	1	Nxpe4|C130036J11|D930028F11Rik|Fam55d|-|9|9 A5.3|protein-coding	10.000	19.000	42.000	63.500
NM_029299	chr9	27396807	27401711	+	703.0	1	Spata19|1700001L23Rik|AV047838|spergen-1|-|9|9 A4|protein-coding	0.000	0.000	0.000	0.000
NR_033744	chr19	24919916	24961616	-	1996.0	1	Cbwd1|AV349248|BC018472|-|19|19 B|protein-coding	66.000	74.000	48.000	60.000
NR_131006	chr16	50783409	50784091	+	409.0	1	1700116B05Rik|-|-|16|16 B5|ncRNA	0.000	0.000	0.000	0.000
NM_172925	chr9	77636732	77660122	+	6252.0	1	Klhl31|9830147P19Rik|D930047P17Rik|Kbtbd1|-|9|9 D-E1|protein-coding	0.000	0.000	15.000	0.000
NM_178790	chr16	56477846	56690135	+	4357.0	1	Abi3bp|5033411B22Rik|AI506287|BG172926|D930038M13Rik|TARSH|eratin|-|16|16 C1.1|protein-coding	0.000	5.000	0.000	1.000
NM_175534	chr7	143778363	143784500	-	3757.0	1	Mrgpre|C130069N09Rik|Ebrt3|Mgrf|MrgE|-|7|7 F5|protein-coding	120.000	71.000	24.000	44.000
NM_001286664	chr6	40471468	40481823	+	2008.0	1	Ssbp1|2810480P10Rik|G630031O20Rik|MtSSB|mtDBP|-|6|6 B1|protein-coding	346.500	294.000	224.500	230.500
NM_009822	chr4	13784782	13895055	+	7242.0	1	Runx1t1|Cbfa2t1h|ETO|MTG8|-|4 A1|4 5.88 cM|protein-coding	382.500	444.500	64.000	77.000
NM_001097980	chrX	154886803	154890267	-	1077.0	1	Cldn34b1|EG546400|Gm16390|-|X|X F3|protein-coding	0.000	0.000	0.000	0.000
NM_153100	chr9	110984943	110989713	-	2450.0	1	Rtp3|Tmem7|-|9|9 F2|protein-coding	0.000	0.000	0.000	1.000
NM_153065	chr2	167015313	167034945	+	2569.0	1	Ddx27|C86129|-|2|2 H3|protein-coding	242.000	274.500	257.000	391.000
NM_001081281	chr3	19644460	19691599	+	1776.0	1	Trim55|D830041C10Rik|Murf2|Rnf29|-|3|3 A2|protein-coding	0.000	0.000	0.000	0.000
NM_152807	chr11	120458129	120464353	+	2751.0	1	Ccdc137|3110023B02Rik|-|11|11 E2|protein-coding	255.000	279.500	167.000	254.500
NM_178079	chr1	131797395	131818115	+	3525.0	1	Pm20d1|4732466D17Rik|AI098026|-|1|1 E4|protein-coding	0.000	1.000	3.000	0.000
NR_029917	chr12	109743289	109743368	+	79.0	1	Mir412|Mirn412|mir-412|mmu-mir-412|-|12 F1|12|ncRNA	0.000	0.000	0.000	0.000
NM_025294	chr11	60902246	60913792	-	4154.0	1	Natd1|AI256713|F3-2|Gm16515|Gtlf3b|-|11|11 B2|protein-coding	43.000	52.000	158.000	140.000
NM_172803	chr12	40446053	40846488	+	8010.0	1	Dock4|5330406C03|6330411N01Rik|AF263288|C030023J22|mKIAA0716|-|12 B1|12 18.06 cM|protein-coding	10.500	9.000	10.000	20.000
NM_001289564	chr5	150018675	150082186	+	3298.0	1	Rxfp2|Gpr106|Great|Lgr8|-|5 G3|5 89.23 cM|protein-coding	0.000	0.000	1.000	0.000
NM_008725	chr4	148000722	148002074	+	855.0	1	Nppa|ANP|Anf|Pnd|-|4 E2|4 78.66 cM|protein-coding	1.000	0.000	6.000	0.000
NM_133786	chr3	69004738	69034623	+	4290.0	1	Smc4|2500002A22Rik|C79747|SMC-4|Smc4l1|-|3|3 E1|protein-coding	1007.500	855.500	924.000	956.000
NM_001347418	chr17	84683121	84700333	+	3649.0	1	Abcg8|1300003C16Rik|AI114946|sterolin-2|-|17 E4|17 55.02 cM|protein-coding	0.000	0.000	0.000	0.000
NR_045073	chr13	29016255	29040336	+	864.0	1	A330102I10Rik|-|-|13|13 A3.1|ncRNA	0.000	0.000	0.000	0.000
NM_009012	chr11	53649519	53707319	-	5126.0	1	Rad50|Mrell|Rad50l|-|11 B1.3|11 31.98 cM|protein-coding	1368.000	1047.500	1693.000	1922.500
NM_001161432	chrX	97333841	97377209	-	4779.0	1	Eda2r|9430060M22Rik|TNFRSF27|Xedar|-|X|X C3|protein-coding	18.000	9.000	20.500	1.000
NM_054079	chr10	118289630	118295038	-	1103.0	1	Iltifb|IL-22b|IL-TIFb|Il22b|-|10|10 D2|protein-coding	0.000	0.000	0.000	0.000
NR_015462	chr2	105076538	105126510	-	3260.0	1	Wt1os|6030498F17|AI314831|Wt1-as|-|2|2 E2|ncRNA	0.000	0.000	0.000	0.000
NM_016907	chr2	119237360	119249513	+	2261.0	1	Spint1|HAI-1|-|2|2 E5|protein-coding	17.000	0.000	0.000	10.000
NM_007515	chrX	101079210	101085405	-	2401.0	1	Slc7a3|Atrc3|CAT-3|CAT3|SLC7A1|SLC7A2|-|X|X D|protein-coding	4.000	6.000	7.000	18.000
NM_153133	chr10	127776405	127792697	+	2692.0	1	Rdh9|AI121090|Crad3|-|10|10 D3|protein-coding	1.000	7.000	1.000	11.000
NM_026457	chr14	75582834	75591985	-	1469.0	1	Spert|1700086N05Rik|AI596460|Nurit|-|14|14 D3|protein-coding	0.000	0.000	0.000	0.000
NM_029987	chr3	159599181	159625307	+	1826.0	1	Rpe65|65kDa|A930029L06Rik|LCA2|Mord1|RP20|rd12|-|3 H4|3 82.52 cM|protein-coding	0.000	0.000	0.000	0.000
NM_001033273	chr15	84945720	84987971	-	5020.0	1	5031439G07Rik|AW554572|mKIAA0930|-|15|15 E2|protein-coding	94.000	154.000	147.500	141.500
NR_131969	chr14	118236232	118261199	+	1147.0	1	LOC105245869|-|-|14 E4|ncRNA	0.000	0.000	0.000	0.000
