Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -condenseGenes -count exons -rpkm -d BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ FPKM	BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FPKM	FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FPKM	FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/ FPKM
NM_026242	chr5	36794867	36796754	-	1626.0	1	Mrfap1|9130413I22Rik|AL022827|Pam14|-|5|5 B3|protein-coding	59.350	67.773	93.919	88.838
NM_019817	chr15	103272918	103299864	+	1653.0	1	Copz1|5930435A22Rik|AA407760|D4Ertd360e|-|15 F3|15 58.74 cM|protein-coding	33.104	27.125	60.378	60.021
NM_029576	chr19	5099207	5106996	-	1827.0	1	Rab1b|1110011F09Rik|-|19|19 A|protein-coding	17.926	22.324	31.394	27.682
NR_046078	chr14	74975086	74987104	+	1453.0	1	Gm4278|-|-|14 D3|14|ncRNA	0.000	0.000	0.000	0.000
NM_020027	chr17	35149086	35164877	-	6825.0	1	Prrc2a|3110039B05Rik|Bat-2|Bat2|D17H6S51E|G2|Wbp12|mKIAA4178|-|17 B1|17 18.59 cM|protein-coding	81.243	91.869	91.466	104.088
NM_028005	chr11	69059775	69061576	+	1799.0	1	Borcs6|2310047M10Rik|-|11|11 B3|protein-coding	2.098	0.872	1.203	0.718
NM_001293057	chrY	12688110	12690067	+	1955.0	2	Gm21379|-|-|Y A1|Y|protein-coding	0.000	0.000	0.000	0.000
NM_011986	chr4	126743750	126753429	-	3692.0	1	Ncdn|AU042419|MMS10-AE|Ms10ae|mKIAA0607|norbin|-|4|4 D2.2|protein-coding	12.668	11.472	10.096	10.806
NM_008124	chrX	101377235	101385629	+	1599.0	1	Gjb1|Cnx32|Cx32|connexin-32|-|X D|X 44.06 cM|protein-coding	0.000	0.000	0.000	0.000
NM_178372	chr17	25298394	25300161	+	1209.0	1	Prss34|C130091P12|Mcp11|mMcp-11|-|17 A3.3|17 12.53 cM|protein-coding	5.908	0.000	0.000	0.000
NM_207136	chr7	6514474	6515427	-	952.0	1	Olfr1349|MOR232-8|-|7|7 A1|protein-coding	0.000	0.000	0.000	0.000
NM_130892	chr10	43901807	43947862	+	2970.0	1	Rtn4ip1|D10Ertd690e|NIMP|-|10 B2|10 23.12 cM|protein-coding	2.088	1.320	8.462	6.164
NM_001162996	chr7	19181170	19206482	+	2234.0	1	Eml2|1600029N02Rik|EMAP-2|-|7|7 A3|protein-coding	6.697	3.394	3.014	6.172
NR_030700	chr5	25499797	25504473	+	4676.0	1	4831440E17Rik|-|-|5|5 B1|ncRNA	0.086	0.056	0.129	0.075
NR_045551	chr4	41505009	41507764	-	658.0	1	1110017D15Rik|Cbe1|Smrp1|-|4|4 A5|protein-coding	0.000	0.000	0.000	0.000
NR_126483	chr7	71947527	71962018	-	635.0	1	Gm36633|-|-|7 D1|7|ncRNA	0.000	0.000	0.000	0.000
NM_010897	chr11	79339892	79581609	+	11787.0	1	Nf1|AW494271|Dsk9|E030030H24Rik|Mhdadsk9|Nf-1|-|11 B5|11 46.74 cM|protein-coding	8.873	9.532	6.560	6.660
NM_001199020	chr1	190925108	190946491	+	3083.0	1	Angel2|2610307I21Rik|5730410O10Rik|AI845692|D1Ertd396e|D1Ertd654e|-|1 H6|1 96.28 cM|protein-coding	30.646	22.303	28.979	30.392
NM_001163532	chr5	108629810	108647770	+	2953.0	1	Tmem175|3010001K23Rik|AI504381|mTMEM175|-|5|5 F|protein-coding	15.358	18.437	14.761	13.928
NM_001185083	chr7	142678656	142679726	-	464.0	1	Ins2|AA986540|Ins-2|InsII|Mody|Mody4|-|7 F5|7 88.0 cM|protein-coding	0.000	0.000	0.000	0.000
NM_025684	chr10	52391608	52404604	+	1818.0	1	Nepn|5730521E12Rik|Npn|periolin|-|10|10 B3|protein-coding	0.000	0.000	0.000	0.000
NM_001099302	chrX	74639119	74645635	-	2855.0	1	Gm5640|EG434797|-|X|X A7.3|protein-coding	0.000	0.000	0.000	0.000
NM_019443	chrX	37187589	37191238	-	488.0	1	Ndufa1|1810049F12Rik|MWFE|-|X|X A3.3|protein-coding	17.676	3.214	18.480	10.340
NR_028066	chr11	46636506	46645006	-	1615.0	1	Gm4926|EG237749|-|11|11 B1.1|pseudo	0.000	0.000	0.000	0.000
NM_011486	chr11	100886806	100939540	-	4444.0	1	Stat3|1110034C02Rik|AW109958|Aprf|-|11 D|11 63.82 cM|protein-coding	51.998	40.049	34.025	43.819
NM_001029844	chr12	106010263	106077410	+	3649.0	1	Vrk1|51PK|-|12|12 E-F1|protein-coding	8.034	8.759	16.608	23.620
NM_172779	chrX	56454839	56507843	+	3789.0	1	Ints6l|4930535D10Rik|6330505F04Rik|D130066O12|Ddx26b|-|X|X A6|protein-coding	30.165	33.551	23.532	33.509
NM_009131	chr7	44303766	44306959	-	1950.0	1	Clec11a|AW457320|Clecsf3|Scgf|-|7|7 B3|protein-coding	1.313	1.006	0.370	1.565
NM_133185	chr16	5008729	5013553	-	1379.0	1	Rogdi|0610011C19Rik|AU020118|C76152|Lzf|-|16 A1|16 2.49 cM|protein-coding	3.861	9.527	14.867	10.807
NM_001039073	chr14	34526699	34588681	-	4720.0	1	Ldb3|AW742271|PDLIM6|ZASP|-|14|14 B|protein-coding	0.000	0.000	0.025	0.000
NM_001085501	chr2	178411206	178414463	-	3255.0	1	Ppp1r3d|2610024M03Rik|Gm359|-|2|2 H4|protein-coding	0.331	1.325	0.813	1.082
NM_001276448	chr2	25676786	25681607	+	799.0	1	Lcn6|9230101D24Rik|-|2|2 A3|protein-coding	0.000	0.000	0.000	0.000
NM_008791	chr16	96467606	96525793	+	636.0	1	Pcp4|P16Rimb19|Pcp-4|Pep19|-|16 C4|16 56.97 cM|protein-coding	0.000	0.000	0.000	0.000
NM_175229	chr17	23803187	23824743	+	8584.0	1	Srrm2|5033413A03Rik|AA410130|SRm300|mKIAA0324|-|17|17 A3.3|protein-coding	174.873	169.805	180.004	208.701
NM_013513	chr2	121017891	121036877	-	3905.0	1	Epb42|Epb4.2|-|2 E5|2 60.37 cM|protein-coding	0.690	0.100	2.155	0.886
NM_153133	chr10	127776405	127792697	+	2692.0	1	Rdh9|AI121090|Crad3|-|10|10 D3|protein-coding	0.050	0.340	0.045	0.479
NM_031368	chr3	88368616	88369831	-	717.0	1	Bglap3|AI461847|Bglap-rs1|OC-X|ORG|mOC-X|-|3 F1|3 38.81 cM|protein-coding	0.000	0.000	0.000	0.000
NR_033784	chr9	57175275	57186110	+	391.0	1	1700041C23Rik|-|-|9|9 B|ncRNA	0.000	0.000	0.000	0.000
NM_001346422	chr9	124348840	124356974	+	2093.0	1	Nlrp4g|nalp4g|-|9|9 F4|protein-coding	0.000	0.000	0.000	0.000
